Base,Tópico,Modelo,Weighted,Weighted F1 Avg,Weighted F1 Max,Weighted F1 Min,Weighted F1 Top-k Avg,Precision Avg,Recall Avg,F1 Avg,Precision Max,Recall Max,F1 Max,Precision Min,Recall Min,F1 Min,Precision Top-k Avg,Recall Top-k Avg,F1 Top-k Avg
Atos Golpistas,17,Bode,0.281186010071045,0.45227168939948914,0.47749668690600194,0.42552706347416724,0.4685261764603814,0.6249497001639969,0.5353468538078803,0.5766154692262785,0.6669800281524658,0.5783451795578003,0.6087756156921387,0.5806255340576172,0.49752557277679443,0.542517900466919,0.6525674313306808,0.557476332783699,0.5973388284444809
Atos Golpistas,13,Bode,0.7047293949237461,0.5531772954919396,0.5710279652212302,0.5248065826628745,0.5625087644635551,0.6020141426397829,0.6120363850982822,0.6069408314568656,0.6289506554603577,0.6333557367324829,0.626526415348053,0.5721862316131592,0.5794855356216431,0.5758127570152283,0.6127276122570038,0.626048618555069,0.6171792298555374
Atos Golpistas,18,Bode,0.822566945326121,0.5216644979462847,0.5816162237478755,0.41051768224735175,0.5457537604256284,0.5658040465535344,0.5373021692843051,0.5509938547740112,0.6302860379219055,0.5991414189338684,0.6143162250518799,0.36492282152175903,0.5079867839813232,0.4335980713367462,0.6001472622156143,0.5593772619962692,0.5764374792575836
Atos Golpistas,8,Bode,0.6683327788866711,0.5051620686872947,0.5467440188322674,0.4867000727195364,0.5224603140957043,0.5707348348680606,0.5516340634054389,0.5609796357548926,0.621410608291626,0.6043629050254822,0.6071561574935913,0.542647123336792,0.5289928913116455,0.5404776930809021,0.5936727553606034,0.5696458876132965,0.5801892399787902
Atos Golpistas,11,Bode,0.6621947109880282,0.5707199828142965,0.6049764789945575,0.5345281799997543,0.5954730757075725,0.6624282830500905,0.6100532606809954,0.6350799974384187,0.7004603147506714,0.6527471542358398,0.6731995940208435,0.613102912902832,0.5695634484291077,0.5948068499565125,0.6916166752576828,0.6417388468980789,0.6626244932413101
Atos Golpistas,12,Bode,0.5675597177344618,0.40784987899212305,0.4762525368451201,0.3830860756583382,0.4574484041429866,0.4940871634077297,0.44603914269713857,0.46864864464410005,0.6090356111526489,0.5035425424575806,0.5472481846809387,0.4376060366630554,0.41329866647720337,0.4401932656764984,0.5740750283002853,0.4861260339617729,0.525640892982483
Atos Golpistas,6,Bode,0.8427543454124002,0.5523267212599936,0.6513391772622275,0.435394555820372,0.6450061897556199,0.6390242334835383,0.5419452890601694,0.5796719917989507,0.6822826862335205,0.7038531303405762,0.6835864782333374,0.5849500894546509,0.3694015145301819,0.4569506049156189,0.6706293612718582,0.6902172058820725,0.6769399493932724
Atos Golpistas,10,Bode,0.4614742661634603,0.5028362925781482,0.5360811576177856,0.4699578140064369,0.5248846365173603,0.6432912580428585,0.5617964551333459,0.5997267846138247,0.6915725469589233,0.5980570316314697,0.6393775343894958,0.6047607660293579,0.5132152438163757,0.5605130195617676,0.673167484998703,0.5889309942722321,0.6260235786437989
Atos Golpistas,19,Bode,0.427951827204968,0.42680722687446493,0.4689684645413835,0.3919835926673443,0.4551161078852207,0.5515125424830944,0.48375749491251907,0.5152277557493804,0.6137605905532837,0.5294530391693115,0.5661234259605408,0.4563151001930237,0.4448912441730499,0.4731898009777069,0.5922894597053527,0.5150544732809067,0.5494013130664825
Atos Golpistas,7,Bode,0.9436010038470231,0.5644726802846493,0.7834301438849152,0.49036617666900917,0.6216534396199693,0.5975370936347667,0.5528294935318583,0.5741877643382491,0.8656819462776184,0.7382670640945435,0.7969136834144592,0.4974291920661926,0.47759127616882324,0.49880582094192505,0.6713076651096344,0.6084379255771637,0.6323526561260223
Atos Golpistas,5,Bode,0.35065162304286557,0.43988506061606775,0.4648839022138731,0.4107828243131727,0.4546489660366389,0.5910366731030601,0.5079542551721845,0.5463084030719031,0.6344221830368042,0.5364780426025391,0.5773553252220154,0.5418301820755005,0.4774682819843292,0.5101653337478638,0.6140941441059112,0.5256169497966766,0.564644205570221
Atos Golpistas,16,Bode,0.735267729285915,0.5806668455160185,0.6089204020829708,0.5422668444521792,0.6026862517394437,0.6450514496885581,0.6172403732532172,0.6307617419867346,0.6792300343513489,0.6516281962394714,0.6614527702331543,0.6128643155097961,0.5670152902603149,0.5890489220619202,0.6677092254161835,0.6450350373983383,0.6546807914972306
Atos Golpistas,4,Llama 3,0.7072372749310128,0.5099112192477201,0.5553405212318838,0.46873300236538057,0.5423115276666136,0.5972663088553194,0.5272997824425036,0.5590082531019768,0.6851954460144043,0.5949727296829224,0.6088117361068726,0.4861113131046295,0.4507274031639099,0.5138651728630066,0.6469110488891602,0.5867266565561294,0.5945282399654388
Atos Golpistas,0,Llama 3,0.6051230810459017,0.5270356834517395,0.5589928798422387,0.499842445461282,0.5477346154924976,0.5946101076327838,0.6012666538357735,0.5978600202844693,0.6310738325119019,0.6413215398788452,0.6341117024421692,0.5486783385276794,0.5648709535598755,0.5670124888420105,0.6216168731451035,0.6275374889373779,0.621340525150299
Atos Golpistas,1,Llama 3,0.8902190674624195,0.5834956152108326,0.624120052110788,0.5377912522658927,0.6161277231495439,0.605635202016667,0.6033272246684469,0.6033670752663979,0.6628506183624268,0.6742050647735596,0.6453750133514404,0.5682547092437744,0.5174023509025574,0.5561062097549438,0.6540331959724426,0.6645412087440491,0.637110498547554
